"Reference","Source Location","Destination Location","Contact","Scheduled Date","Source Document","Status","Activity Exception Decoration"
"INT/230019103","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001064","Ready",""
"INT/230017750","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001066","Ready",""
"INT/230016633","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001068","Ready",""
"INT/230020445","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-12 00:00:00","MO/230001077","Ready",""
"INT/230020419","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-12 00:00:00","MO/230001079","Ready",""
"INT/230021387","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-12 00:00:00","MO/230001082","Ready",""
"INT/230022642","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-13 00:00:00","MO/230001095","Ready",""
"INT/230024134","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-13 00:00:00","MO/230001103","Ready",""
"INT/230022002","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001198","Ready",""
"INT/230019374","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001197","Ready",""
"INT/230019373","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001199","Ready",""
